iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN	Accuracy_SumError	Accuracy_SumWeight
0	0	0	0	1136	0	0	1136	10540	11676
1	0	0	0	1136	0	0	1136	10540	11676
2	0	0	0	1136	0	0	1136	10540	11676
3	0	0	0	1136	0	0	1136	10540	11676
4	0	0	0	1136	0	0	1136	10540	11676
5	0	0	0	1136	0	0	1136	10540	11676
6	0	0	0	1136	0	0	1136	10540	11676
7	0	0	0	1136	0	0	1136	10540	11676
8	0	0	0	1136	0	0	1136	10540	11676
9	0	0	0	1136	0	0	1136	10540	11676
10	0	0	0	1136	0	0	1136	10540	11676
11	0	0	0	1136	0	0	1136	10540	11676
12	0	0	0	1136	0	0	1136	10540	11676
13	0	0	0	1136	0	0	1136	10540	11676
14	0	0	0	1136	0	0	1136	10540	11676
15	0	0	0	1136	0	0	1136	10540	11676
16	0	0	0	1136	0	0	1136	10540	11676
17	0	0	0	1136	0	0	1136	10540	11676
18	0	0	0	1136	0	0	1136	10540	11676
19	0	0	0	1136	0	0	1136	10540	11676
20	0	0	0	1136	0	0	1136	10540	11676
21	0	0	0	1136	0	0	1136	10540	11676
22	0	0	0	1136	0	0	1136	10540	11676
23	0	0	0	1136	0	0	1136	10540	11676
24	0	0	0	1136	0	0	1136	10540	11676
25	0	0	0	1136	0	0	1136	10540	11676
26	0	0	0	1136	0	0	1136	10540	11676
27	0	0	0	1136	0	0	1136	10540	11676
28	0	0	0	1136	0	0	1136	10540	11676
29	0	0	0	1136	0	0	1136	10540	11676
30	0	0	0	1136	0	0	1136	10540	11676
31	0	0	0	1136	0	0	1136	10540	11676
32	0	0	0	1136	0	0	1136	10540	11676
33	0	0	0	1136	0	0	1136	10540	11676
34	0	0	0	1136	0	0	1136	10540	11676
35	0	0	0	1136	0	0	1136	10540	11676
36	0	0	0	1136	0	0	1136	10540	11676
37	0	0	0	1136	0	0	1136	10540	11676
38	0	0	0	1136	0	0	1136	10540	11676
39	0	0	0	1136	0	0	1136	10540	11676
40	0	0	0	1136	0	0	1136	10540	11676
41	0	0	0	1136	0	0	1136	10540	11676
42	0	0	0	1136	0	0	1136	10540	11676
43	0	0	0	1136	0	0	1136	10540	11676
44	0	0	0	1136	0	0	1136	10540	11676
45	0	0	0	1136	0	0	1136	10540	11676
46	0	0	0	1136	0	0	1136	10540	11676
47	0	0	0	1136	0	0	1136	10540	11676
48	0	0	0	1136	0	0	1136	10540	11676
49	0	0	0	1136	0	0	1136	10540	11676
50	0	0	0	1136	0	0	1136	10540	11676
51	0	0	0	1136	0	0	1136	10540	11676
52	0	0	0	1136	0	0	1136	10540	11676
53	0	0	0	1136	0	0	1136	10540	11676
54	0	0	0	1136	0	0	1136	10540	11676
55	0	0	0	1136	0	0	1136	10540	11676
56	0	0	0	1136	0	0	1136	10540	11676
57	0	0	0	1136	0	0	1136	10540	11676
58	0	0	0	1136	0	0	1136	10540	11676
59	0	0	0	1136	0	0	1136	10540	11676
60	0	0	0	1136	0	0	1136	10540	11676
61	0	0	0	1136	0	0	1136	10540	11676
62	0	0	0	1136	0	0	1136	10540	11676
63	0	0	0	1136	0	0	1136	10540	11676
64	0	0	0	1136	0	0	1136	10540	11676
65	0	0	0	1136	0	0	1136	10540	11676
66	0	0	0	1136	0	0	1136	10540	11676
67	0	0	0	1136	0	0	1136	10540	11676
68	0	0	0	1136	0	0	1136	10540	11676
69	0	0	0	1136	0	0	1136	10540	11676
70	0	0	0	1136	0	0	1136	10540	11676
71	0	0	0	1136	0	0	1136	10540	11676
72	0	0	0	1136	0	0	1136	10540	11676
73	0	0	0	1136	0	0	1136	10540	11676
74	0	0	0	1136	0	0	1136	10540	11676
75	0	0	0	1136	0	0	1136	10540	11676
76	0	0	0	1136	0	0	1136	10540	11676
77	0	0	0	1136	0	0	1136	10540	11676
78	0	0	0	1136	0	0	1136	10540	11676
79	0	0	0	1136	0	0	1136	10540	11676
80	0	0	0	1136	0	0	1136	10540	11676
81	0	0	0	1136	0	0	1136	10540	11676
82	0	0	0	1136	0	0	1136	10540	11676
83	0	0	0	1136	0	0	1136	10540	11676
84	0	0	0	1136	0	0	1136	10540	11676
85	0	0	0	1136	0	0	1136	10540	11676
86	0	0	0	1136	0	0	1136	10540	11676
87	0	0	0	1136	0	0	1136	10540	11676
88	0	0	0	1136	0	0	1136	10540	11676
89	0	0	0	1136	0	0	1136	10540	11676
90	0	0	0	1136	0	0	1136	10540	11676
91	0	0	0	1136	0	0	1136	10540	11676
92	0	0	0	1136	0	0	1136	10540	11676
93	0	0	0	1136	0	0	1136	10540	11676
94	0	0	0	1136	0	0	1136	10540	11676
95	0	0	0	1136	0	0	1136	10540	11676
96	0	0	0	1136	0	0	1136	10540	11676
97	0	0	0	1136	0	0	1136	10540	11676
98	0	0	0	1136	0	0	1136	10540	11676
99	0	0	0	1136	0	0	1136	10540	11676
100	0	0	0	1136	0	0	1136	10540	11676
101	0	0	0	1136	0	0	1136	10540	11676
102	0	0	0	1136	0	0	1136	10540	11676
103	0	0	0	1136	0	0	1136	10540	11676
104	0	0	0	1136	0	0	1136	10540	11676
105	0	0	0	1136	0	0	1136	10540	11676
106	0	0	0	1136	0	0	1136	10540	11676
107	0	0	0	1136	0	0	1136	10540	11676
108	0	0	0	1136	0	0	1136	10540	11676
109	0	0	0	1136	0	0	1136	10540	11676
110	0	0	0	1136	0	0	1136	10540	11676
111	0	0	0	1136	0	0	1136	10540	11676
112	0	0	0	1136	0	0	1136	10540	11676
113	0	0	0	1136	0	0	1136	10540	11676
114	0	0	0	1136	0	0	1136	10540	11676
115	0	0	0	1136	0	0	1136	10540	11676
116	0	0	0	1136	0	0	1136	10540	11676
117	0	0	0	1136	0	0	1136	10540	11676
118	0	0	0	1136	0	0	1136	10540	11676
119	0	0	0	1136	0	0	1136	10540	11676
120	0	0	0	1136	0	0	1136	10540	11676
121	0	0	0	1136	0	0	1136	10540	11676
122	0	0	0	1136	0	0	1136	10540	11676
123	0	0	0	1136	0	0	1136	10540	11676
124	0	0	0	1136	0	0	1136	10540	11676
125	0	0	0	1136	0	0	1136	10540	11676
126	0	0	0	1136	0	0	1136	10540	11676
127	0	0	0	1136	0	0	1136	10540	11676
128	0	0	0	1136	0	0	1136	10540	11676
129	0	0	0	1136	0	0	1136	10540	11676
130	0	0	0	1136	0	0	1136	10540	11676
131	0	0	0	1136	0	0	1136	10540	11676
132	0	0	0	1136	0	0	1136	10540	11676
133	0	0	0	1136	0	0	1136	10540	11676
134	0	0	0	1136	0	0	1136	10540	11676
135	0	0	0	1136	0	0	1136	10540	11676
136	0	0	0	1136	0	0	1136	10540	11676
137	0	0	0	1136	0	0	1136	10540	11676
138	0	0	0	1136	0	0	1136	10540	11676
139	0	0	0	1136	0	0	1136	10540	11676
140	0	0	0	1136	0	0	1136	10540	11676
141	0	0	0	1136	0	0	1136	10540	11676
142	0	0	0	1136	0	0	1136	10540	11676
143	0	0	0	1136	0	0	1136	10540	11676
144	0	0	0	1136	0	0	1136	10540	11676
145	0	0	0	1136	0	0	1136	10540	11676
146	0	0	0	1136	0	0	1136	10540	11676
147	0	0	0	1136	0	0	1136	10540	11676
148	0	0	0	1136	0	0	1136	10540	11676
149	0	0	0	1136	0	0	1136	10540	11676
150	0	0	0	1136	0	0	1136	10540	11676
151	0	0	0	1136	0	0	1136	10540	11676
152	0	0	0	1136	0	0	1136	10540	11676
153	0	0	0	1136	0	0	1136	10540	11676
154	0	0	0	1136	0	0	1136	10540	11676
155	0	0	0	1136	0	0	1136	10540	11676
156	0	0	0	1136	0	0	1136	10540	11676
157	0	0	0	1136	0	0	1136	10540	11676
158	1	1	1	1136	1	1	1136	10541	11676
159	1	1	1	1136	1	1	1136	10541	11676
160	1	1	1	1136	1	1	1136	10541	11676
161	1	1	1	1136	1	1	1136	10541	11676
162	1	1	1	1136	1	1	1136	10541	11676
163	3	3	3	1136	3	3	1136	10543	11676
164	3	3	3	1136	3	3	1136	10543	11676
165	3	3	3	1136	3	3	1136	10543	11676
166	3	3	3	1136	3	3	1136	10543	11676
167	3	3	3	1136	3	3	1136	10543	11676
168	3	3	3	1136	3	3	1136	10543	11676
169	3	3	3	1136	3	3	1136	10543	11676
170	3	3	3	1136	3	3	1136	10543	11676
171	3	3	3	1136	3	3	1136	10543	11676
172	3	3	3	1136	3	3	1136	10543	11676
173	3	3	3	1136	3	3	1136	10543	11676
174	4	4	4	1136	4	4	1136	10544	11676
175	4	5	4	1136	4	5	1136	10543	11676
176	4	5	4	1136	4	5	1136	10543	11676
177	5	6	5	1136	5	6	1136	10544	11676
178	5	6	5	1136	5	6	1136	10544	11676
179	6	7	6	1136	6	7	1136	10545	11676
180	6	7	6	1136	6	7	1136	10545	11676
181	6	7	6	1136	6	7	1136	10545	11676
182	6	7	6	1136	6	7	1136	10545	11676
183	7	9	7	1136	7	9	1136	10545	11676
184	7	9	7	1136	7	9	1136	10545	11676
185	7	9	7	1136	7	9	1136	10545	11676
186	7	9	7	1136	7	9	1136	10545	11676
187	7	9	7	1136	7	9	1136	10545	11676
188	7	9	7	1136	7	9	1136	10545	11676
189	7	9	7	1136	7	9	1136	10545	11676
190	7	9	7	1136	7	9	1136	10545	11676
191	6	8	6	1136	6	8	1136	10544	11676
192	6	8	6	1136	6	8	1136	10544	11676
193	7	9	7	1136	7	9	1136	10545	11676
194	7	9	7	1136	7	9	1136	10545	11676
195	7	9	7	1136	7	9	1136	10545	11676
196	7	9	7	1136	7	9	1136	10545	11676
197	7	9	7	1136	7	9	1136	10545	11676
198	7	9	7	1136	7	9	1136	10545	11676
199	7	9	7	1136	7	9	1136	10545	11676
200	7	9	7	1136	7	9	1136	10545	11676
201	7	9	7	1136	7	9	1136	10545	11676
202	7	9	7	1136	7	9	1136	10545	11676
203	9	11	9	1136	9	11	1136	10547	11676
204	8	10	8	1136	8	10	1136	10546	11676
205	8	10	8	1136	8	10	1136	10546	11676
206	8	10	8	1136	8	10	1136	10546	11676
207	8	10	8	1136	8	10	1136	10546	11676
208	10	12	10	1136	10	12	1136	10548	11676
209	10	12	10	1136	10	12	1136	10548	11676
210	10	12	10	1136	10	12	1136	10548	11676
211	10	12	10	1136	10	12	1136	10548	11676
212	13	15	13	1136	13	15	1136	10551	11676
213	13	16	13	1136	13	16	1136	10550	11676
214	13	16	13	1136	13	16	1136	10550	11676
215	14	17	14	1136	14	17	1136	10551	11676
216	14	17	14	1136	14	17	1136	10551	11676
217	15	18	15	1136	15	18	1136	10552	11676
218	15	18	15	1136	15	18	1136	10552	11676
219	15	17	15	1136	15	17	1136	10553	11676
220	15	17	15	1136	15	17	1136	10553	11676
221	15	17	15	1136	15	17	1136	10553	11676
222	15	17	15	1136	15	17	1136	10553	11676
223	15	17	15	1136	15	17	1136	10553	11676
224	15	17	15	1136	15	17	1136	10553	11676
225	15	17	15	1136	15	17	1136	10553	11676
226	15	17	15	1136	15	17	1136	10553	11676
227	15	17	15	1136	15	17	1136	10553	11676
228	15	18	15	1136	15	18	1136	10552	11676
229	15	17	15	1136	15	17	1136	10553	11676
230	15	17	15	1136	15	17	1136	10553	11676
231	15	17	15	1136	15	17	1136	10553	11676
232	16	18	16	1136	16	18	1136	10554	11676
233	16	18	16	1136	16	18	1136	10554	11676
234	16	18	16	1136	16	18	1136	10554	11676
235	18	21	18	1136	18	21	1136	10555	11676
236	18	21	18	1136	18	21	1136	10555	11676
237	17	20	17	1136	17	20	1136	10554	11676
238	17	20	17	1136	17	20	1136	10554	11676
239	18	21	18	1136	18	21	1136	10555	11676
240	18	21	18	1136	18	21	1136	10555	11676
241	18	21	18	1136	18	21	1136	10555	11676
242	18	21	18	1136	18	21	1136	10555	11676
243	18	21	18	1136	18	21	1136	10555	11676
244	19	22	19	1136	19	22	1136	10556	11676
245	19	22	19	1136	19	22	1136	10556	11676
246	19	22	19	1136	19	22	1136	10556	11676
247	19	22	19	1136	19	22	1136	10556	11676
248	19	22	19	1136	19	22	1136	10556	11676
249	20	23	20	1136	20	23	1136	10557	11676
250	20	23	20	1136	20	23	1136	10557	11676
251	20	23	20	1136	20	23	1136	10557	11676
252	20	23	20	1136	20	23	1136	10557	11676
253	20	23	20	1136	20	23	1136	10557	11676
254	20	23	20	1136	20	23	1136	10557	11676
255	22	25	22	1136	22	25	1136	10559	11676
256	23	26	23	1136	23	26	1136	10560	11676
257	23	26	23	1136	23	26	1136	10560	11676
258	23	26	23	1136	23	26	1136	10560	11676
259	23	26	23	1136	23	26	1136	10560	11676
260	24	27	24	1136	24	27	1136	10561	11676
261	24	27	24	1136	24	27	1136	10561	11676
262	24	27	24	1136	24	27	1136	10561	11676
263	27	30	27	1136	27	30	1136	10564	11676
264	28	31	28	1136	28	31	1136	10565	11676
265	27	30	27	1136	27	30	1136	10564	11676
266	27	30	27	1136	27	30	1136	10564	11676
267	29	32	29	1136	29	32	1136	10566	11676
268	29	32	29	1136	29	32	1136	10566	11676
269	30	33	30	1136	30	33	1136	10567	11676
270	30	33	30	1136	30	33	1136	10567	11676
271	30	33	30	1136	30	33	1136	10567	11676
272	30	33	30	1136	30	33	1136	10567	11676
273	30	33	30	1136	30	33	1136	10567	11676
274	30	33	30	1136	30	33	1136	10567	11676
275	30	34	30	1136	30	34	1136	10566	11676
276	30	34	30	1136	30	34	1136	10566	11676
277	30	34	30	1136	30	34	1136	10566	11676
278	30	34	30	1136	30	34	1136	10566	11676
279	32	36	32	1136	32	36	1136	10568	11676
280	32	36	32	1136	32	36	1136	10568	11676
281	32	36	32	1136	32	36	1136	10568	11676
282	32	36	32	1136	32	36	1136	10568	11676
283	32	36	32	1136	32	36	1136	10568	11676
284	32	36	32	1136	32	36	1136	10568	11676
285	31	35	31	1136	31	35	1136	10567	11676
286	31	35	31	1136	31	35	1136	10567	11676
287	33	37	33	1136	33	37	1136	10569	11676
288	32	36	32	1136	32	36	1136	10568	11676
289	32	36	32	1136	32	36	1136	10568	11676
290	34	38	34	1136	34	38	1136	10570	11676
291	34	38	34	1136	34	38	1136	10570	11676
292	34	38	34	1136	34	38	1136	10570	11676
293	34	38	34	1136	34	38	1136	10570	11676
294	35	39	35	1136	35	39	1136	10571	11676
295	35	39	35	1136	35	39	1136	10571	11676
296	35	39	35	1136	35	39	1136	10571	11676
297	35	39	35	1136	35	39	1136	10571	11676
298	35	39	35	1136	35	39	1136	10571	11676
299	35	39	35	1136	35	39	1136	10571	11676
300	38	42	38	1136	38	42	1136	10574	11676
301	38	42	38	1136	38	42	1136	10574	11676
302	38	42	38	1136	38	42	1136	10574	11676
303	38	42	38	1136	38	42	1136	10574	11676
304	38	42	38	1136	38	42	1136	10574	11676
305	38	42	38	1136	38	42	1136	10574	11676
306	39	43	39	1136	39	43	1136	10575	11676
307	42	46	42	1136	42	46	1136	10578	11676
308	41	45	41	1136	41	45	1136	10577	11676
309	41	45	41	1136	41	45	1136	10577	11676
310	42	46	42	1136	42	46	1136	10578	11676
311	41	45	41	1136	41	45	1136	10577	11676
312	42	46	42	1136	42	46	1136	10578	11676
313	41	45	41	1136	41	45	1136	10577	11676
314	41	45	41	1136	41	45	1136	10577	11676
315	41	45	41	1136	41	45	1136	10577	11676
316	41	45	41	1136	41	45	1136	10577	11676
317	41	45	41	1136	41	45	1136	10577	11676
318	41	45	41	1136	41	45	1136	10577	11676
319	41	45	41	1136	41	45	1136	10577	11676
320	41	45	41	1136	41	45	1136	10577	11676
321	49	53	49	1136	49	53	1136	10585	11676
322	50	54	50	1136	50	54	1136	10586	11676
323	50	54	50	1136	50	54	1136	10586	11676
324	50	54	50	1136	50	54	1136	10586	11676
325	51	55	51	1136	51	55	1136	10587	11676
326	51	55	51	1136	51	55	1136	10587	11676
327	51	55	51	1136	51	55	1136	10587	11676
328	52	56	52	1136	52	56	1136	10588	11676
329	52	56	52	1136	52	56	1136	10588	11676
330	52	56	52	1136	52	56	1136	10588	11676
331	52	56	52	1136	52	56	1136	10588	11676
332	52	56	52	1136	52	56	1136	10588	11676
333	52	56	52	1136	52	56	1136	10588	11676
334	52	56	52	1136	52	56	1136	10588	11676
335	54	58	54	1136	54	58	1136	10590	11676
336	54	58	54	1136	54	58	1136	10590	11676
337	55	59	55	1136	55	59	1136	10591	11676
338	56	60	56	1136	56	60	1136	10592	11676
339	56	60	56	1136	56	60	1136	10592	11676
340	56	60	56	1136	56	60	1136	10592	11676
341	56	60	56	1136	56	60	1136	10592	11676
342	56	60	56	1136	56	60	1136	10592	11676
343	57	61	57	1136	57	61	1136	10593	11676
344	57	61	57	1136	57	61	1136	10593	11676
345	57	61	57	1136	57	61	1136	10593	11676
346	59	63	59	1136	59	63	1136	10595	11676
347	60	64	60	1136	60	64	1136	10596	11676
348	60	64	60	1136	60	64	1136	10596	11676
349	62	66	62	1136	62	66	1136	10598	11676
350	62	66	62	1136	62	66	1136	10598	11676
351	61	65	61	1136	61	65	1136	10597	11676
352	62	66	62	1136	62	66	1136	10598	11676
353	62	66	62	1136	62	66	1136	10598	11676
354	62	66	62	1136	62	66	1136	10598	11676
355	61	65	61	1136	61	65	1136	10597	11676
356	64	68	64	1136	64	68	1136	10600	11676
357	64	68	64	1136	64	68	1136	10600	11676
358	64	68	64	1136	64	68	1136	10600	11676
359	65	69	65	1136	65	69	1136	10601	11676
360	65	69	65	1136	65	69	1136	10601	11676
361	65	69	65	1136	65	69	1136	10601	11676
362	65	69	65	1136	65	69	1136	10601	11676
363	65	69	65	1136	65	69	1136	10601	11676
364	65	69	65	1136	65	69	1136	10601	11676
365	65	69	65	1136	65	69	1136	10601	11676
366	65	69	65	1136	65	69	1136	10601	11676
367	66	70	66	1136	66	70	1136	10602	11676
368	66	70	66	1136	66	70	1136	10602	11676
369	66	70	66	1136	66	70	1136	10602	11676
370	67	71	67	1136	67	71	1136	10603	11676
371	67	71	67	1136	67	71	1136	10603	11676
372	67	71	67	1136	67	71	1136	10603	11676
373	66	70	66	1136	66	70	1136	10602	11676
374	66	70	66	1136	66	70	1136	10602	11676
375	67	71	67	1136	67	71	1136	10603	11676
376	69	73	69	1136	69	73	1136	10605	11676
377	69	73	69	1136	69	73	1136	10605	11676
378	71	75	71	1136	71	75	1136	10607	11676
379	71	75	71	1136	71	75	1136	10607	11676
380	70	74	70	1136	70	74	1136	10606	11676
381	71	75	71	1136	71	75	1136	10607	11676
382	71	75	71	1136	71	75	1136	10607	11676
383	71	75	71	1136	71	75	1136	10607	11676
384	71	75	71	1136	71	75	1136	10607	11676
385	73	77	73	1136	73	77	1136	10609	11676
386	73	77	73	1136	73	77	1136	10609	11676
387	74	78	74	1136	74	78	1136	10610	11676
388	73	77	73	1136	73	77	1136	10609	11676
389	75	79	75	1136	75	79	1136	10611	11676
390	75	79	75	1136	75	79	1136	10611	11676
391	76	80	76	1136	76	80	1136	10612	11676
392	76	80	76	1136	76	80	1136	10612	11676
393	77	81	77	1136	77	81	1136	10613	11676
394	78	82	78	1136	78	82	1136	10614	11676
395	78	82	78	1136	78	82	1136	10614	11676
396	78	82	78	1136	78	82	1136	10614	11676
397	78	82	78	1136	78	82	1136	10614	11676
398	78	82	78	1136	78	82	1136	10614	11676
399	78	82	78	1136	78	82	1136	10614	11676
400	79	83	79	1136	79	83	1136	10615	11676
401	80	84	80	1136	80	84	1136	10616	11676
402	81	85	81	1136	81	85	1136	10617	11676
403	80	84	80	1136	80	84	1136	10616	11676
404	81	85	81	1136	81	85	1136	10617	11676
405	82	86	82	1136	82	86	1136	10618	11676
406	82	86	82	1136	82	86	1136	10618	11676
407	82	86	82	1136	82	86	1136	10618	11676
408	82	86	82	1136	82	86	1136	10618	11676
409	82	86	82	1136	82	86	1136	10618	11676
410	84	88	84	1136	84	88	1136	10620	11676
411	86	90	86	1136	86	90	1136	10622	11676
412	87	91	87	1136	87	91	1136	10623	11676
413	87	91	87	1136	87	91	1136	10623	11676
414	87	91	87	1136	87	91	1136	10623	11676
415	87	91	87	1136	87	91	1136	10623	11676
416	87	91	87	1136	87	91	1136	10623	11676
417	87	91	87	1136	87	91	1136	10623	11676
418	87	91	87	1136	87	91	1136	10623	11676
419	87	91	87	1136	87	91	1136	10623	11676
420	89	93	89	1136	89	93	1136	10625	11676
421	89	93	89	1136	89	93	1136	10625	11676
422	89	93	89	1136	89	93	1136	10625	11676
423	89	93	89	1136	89	93	1136	10625	11676
424	89	93	89	1136	89	93	1136	10625	11676
425	90	94	90	1136	90	94	1136	10626	11676
426	90	94	90	1136	90	94	1136	10626	11676
427	93	97	93	1136	93	97	1136	10629	11676
428	92	96	92	1136	92	96	1136	10628	11676
429	92	96	92	1136	92	96	1136	10628	11676
430	92	96	92	1136	92	96	1136	10628	11676
431	92	96	92	1136	92	96	1136	10628	11676
432	93	97	93	1136	93	97	1136	10629	11676
433	93	97	93	1136	93	97	1136	10629	11676
434	93	97	93	1136	93	97	1136	10629	11676
435	91	95	91	1136	91	95	1136	10627	11676
436	92	96	92	1136	92	96	1136	10628	11676
437	93	97	93	1136	93	97	1136	10629	11676
438	95	99	95	1136	95	99	1136	10631	11676
439	95	99	95	1136	95	99	1136	10631	11676
440	96	100	96	1136	96	100	1136	10632	11676
441	98	102	98	1136	98	102	1136	10634	11676
442	97	101	97	1136	97	101	1136	10633	11676
443	98	102	98	1136	98	102	1136	10634	11676
444	99	103	99	1136	99	103	1136	10635	11676
445	101	105	101	1136	101	105	1136	10637	11676
446	101	105	101	1136	101	105	1136	10637	11676
447	101	105	101	1136	101	105	1136	10637	11676
448	103	107	103	1136	103	107	1136	10639	11676
449	103	107	103	1136	103	107	1136	10639	11676
450	105	109	105	1136	105	109	1136	10641	11676
451	106	110	106	1136	106	110	1136	10642	11676
452	106	110	106	1136	106	110	1136	10642	11676
453	106	110	106	1136	106	110	1136	10642	11676
454	106	110	106	1136	106	110	1136	10642	11676
455	106	110	106	1136	106	110	1136	10642	11676
456	107	111	107	1136	107	111	1136	10643	11676
457	107	111	107	1136	107	111	1136	10643	11676
458	108	112	108	1136	108	112	1136	10644	11676
459	109	113	109	1136	109	113	1136	10645	11676
460	109	113	109	1136	109	113	1136	10645	11676
461	109	113	109	1136	109	113	1136	10645	11676
462	110	114	110	1136	110	114	1136	10646	11676
463	112	116	112	1136	112	116	1136	10648	11676
464	114	118	114	1136	114	118	1136	10650	11676
465	114	118	114	1136	114	118	1136	10650	11676
466	114	118	114	1136	114	118	1136	10650	11676
467	114	118	114	1136	114	118	1136	10650	11676
468	114	118	114	1136	114	118	1136	10650	11676
469	114	118	114	1136	114	118	1136	10650	11676
470	114	118	114	1136	114	118	1136	10650	11676
471	114	118	114	1136	114	118	1136	10650	11676
472	114	118	114	1136	114	118	1136	10650	11676
473	113	117	113	1136	113	117	1136	10649	11676
474	115	119	115	1136	115	119	1136	10651	11676
475	115	119	115	1136	115	119	1136	10651	11676
476	116	120	116	1136	116	120	1136	10652	11676
477	116	120	116	1136	116	120	1136	10652	11676
478	116	120	116	1136	116	120	1136	10652	11676
479	117	121	117	1136	117	121	1136	10653	11676
480	117	121	117	1136	117	121	1136	10653	11676
481	117	121	117	1136	117	121	1136	10653	11676
482	117	121	117	1136	117	121	1136	10653	11676
483	116	120	116	1136	116	120	1136	10652	11676
484	116	120	116	1136	116	120	1136	10652	11676
485	116	120	116	1136	116	120	1136	10652	11676
486	118	122	118	1136	118	122	1136	10654	11676
487	117	121	117	1136	117	121	1136	10653	11676
488	118	122	118	1136	118	122	1136	10654	11676
489	118	122	118	1136	118	122	1136	10654	11676
490	118	122	118	1136	118	122	1136	10654	11676
491	118	122	118	1136	118	122	1136	10654	11676
492	118	122	118	1136	118	122	1136	10654	11676
493	119	123	119	1136	119	123	1136	10655	11676
494	119	123	119	1136	119	123	1136	10655	11676
495	119	123	119	1136	119	123	1136	10655	11676
496	119	123	119	1136	119	123	1136	10655	11676
497	122	126	122	1136	122	126	1136	10658	11676
498	122	126	122	1136	122	126	1136	10658	11676
499	122	126	122	1136	122	126	1136	10658	11676
500	126	130	126	1136	126	130	1136	10662	11676
501	127	131	127	1136	127	131	1136	10663	11676
502	127	132	127	1136	127	132	1136	10662	11676
503	128	133	128	1136	128	133	1136	10663	11676
504	127	132	127	1136	127	132	1136	10662	11676
505	127	132	127	1136	127	132	1136	10662	11676
506	126	131	126	1136	126	131	1136	10661	11676
507	127	132	127	1136	127	132	1136	10662	11676
508	127	132	127	1136	127	132	1136	10662	11676
509	129	134	129	1136	129	134	1136	10664	11676
510	130	135	130	1136	130	135	1136	10665	11676
511	132	137	132	1136	132	137	1136	10667	11676
512	132	137	132	1136	132	137	1136	10667	11676
513	132	137	132	1136	132	137	1136	10667	11676
514	133	138	133	1136	133	138	1136	10668	11676
515	133	138	133	1136	133	138	1136	10668	11676
516	135	140	135	1136	135	140	1136	10670	11676
517	135	140	135	1136	135	140	1136	10670	11676
518	135	140	135	1136	135	140	1136	10670	11676
519	134	139	134	1136	134	139	1136	10669	11676
520	135	140	135	1136	135	140	1136	10670	11676
521	135	140	135	1136	135	140	1136	10670	11676
522	136	141	136	1136	136	141	1136	10671	11676
523	137	142	137	1136	137	142	1136	10672	11676
524	138	143	138	1136	138	143	1136	10673	11676
525	145	150	145	1136	145	150	1136	10680	11676
526	145	150	145	1136	145	150	1136	10680	11676
527	145	150	145	1136	145	150	1136	10680	11676
528	145	150	145	1136	145	150	1136	10680	11676
529	146	151	146	1136	146	151	1136	10681	11676
530	145	150	145	1136	145	150	1136	10680	11676
531	147	152	147	1136	147	152	1136	10682	11676
532	147	152	147	1136	147	152	1136	10682	11676
533	147	152	147	1136	147	152	1136	10682	11676
